"","acceptedScientificName","LON","LAT"
"176","Lontra felina (Molina, 1782)",-71.09728199,-17.865534
"183","Lontra felina (Molina, 1782)",-71.10422187,-17.85161
"184","Lontra felina (Molina, 1782)",-71.10411419,-17.851277
"208","Lontra felina (Molina, 1782)",-71.17574494,-17.802876
"210","Lontra felina (Molina, 1782)",-71.17565823,-17.801946
"227","Lontra felina (Molina, 1782)",-71.36030544,-17.664894
"229","Lontra felina (Molina, 1782)",-71.35847787,-17.662748
"230","Lontra felina (Molina, 1782)",-71.35812804,-17.659762
"232","Lontra felina (Molina, 1782)",-71.35531002,-17.65752
"233","Lontra felina (Molina, 1782)",-71.35541258,-17.657437
"235","Lontra felina (Molina, 1782)",-71.3518751,-17.654201
"236","Lontra felina (Molina, 1782)",-71.34745493,-17.643911
"237","Lontra felina (Molina, 1782)",-71.3474162,-17.64383
"238","Lontra felina (Molina, 1782)",-71.34734061,-17.643813
"239","Lontra felina (Molina, 1782)",-71.347312,-17.643786
"242","Lontra felina (Molina, 1782)",-71.34552077,-17.64369
"243","Lontra felina (Molina, 1782)",-71.34684518,-17.643385
"244","Lontra felina (Molina, 1782)",-71.34680726,-17.643368
"246","Lontra felina (Molina, 1782)",-71.3426965,-17.638747
"247","Lontra felina (Molina, 1782)",-71.34308211,-17.638697
"248","Lontra felina (Molina, 1782)",-71.34313,-17.63868
"249","Lontra felina (Molina, 1782)",-71.34312897,-17.638678
"251","Lontra felina (Molina, 1782)",-71.34259722,-17.636547
"253","Lontra felina (Molina, 1782)",-71.34458009,-17.626322
"255","Lontra felina (Molina, 1782)",-71.39239297,-17.395471
"261","Lontra felina (Molina, 1782)",-71.40416897,-17.385195
"262","Lontra felina (Molina, 1782)",-71.4042347,-17.385185
"266","Lontra felina (Molina, 1782)",-71.43045741,-17.365601
"267","Lontra felina (Molina, 1782)",-71.43148204,-17.365553
"268","Lontra felina (Molina, 1782)",-71.4308874,-17.365397
"269","Lontra felina (Molina, 1782)",-71.43100382,-17.364953
"270","Lontra felina (Molina, 1782)",-71.42987265,-17.364768
"272","Lontra felina (Molina, 1782)",-71.42988146,-17.364723
"273","Lontra felina (Molina, 1782)",-71.42861101,-17.363962
"274","Lontra felina (Molina, 1782)",-71.43082917,-17.363835
"275","Lontra felina (Molina, 1782)",-71.42829864,-17.363812
"276","Lontra felina (Molina, 1782)",-71.43123606,-17.363307
"278","Lontra felina (Molina, 1782)",-71.43126818,-17.362177
"281","Lontra felina (Molina, 1782)",-71.43126747,-17.362123
"282","Lontra felina (Molina, 1782)",-71.43067629,-17.361516
"283","Lontra felina (Molina, 1782)",-71.43038795,-17.358909
"284","Lontra felina (Molina, 1782)",-71.43150812,-17.358263
"285","Lontra felina (Molina, 1782)",-71.43186917,-17.357825
"290","Lontra felina (Molina, 1782)",-71.45007433,-17.332728
"291","Lontra felina (Molina, 1782)",-71.45036534,-17.332688
"292","Lontra felina (Molina, 1782)",-71.45142545,-17.332494
"293","Lontra felina (Molina, 1782)",-71.45171562,-17.332391
"294","Lontra felina (Molina, 1782)",-71.45225102,-17.331635
"295","Lontra felina (Molina, 1782)",-71.45268335,-17.330907
"296","Lontra felina (Molina, 1782)",-71.45270156,-17.330862
"297","Lontra felina (Molina, 1782)",-71.45361942,-17.33058
"298","Lontra felina (Molina, 1782)",-71.45385377,-17.330523
"299","Lontra felina (Molina, 1782)",-71.45487565,-17.330284
"300","Lontra felina (Molina, 1782)",-71.45681791,-17.329953
"301","Lontra felina (Molina, 1782)",-71.45594203,-17.329856
"302","Lontra felina (Molina, 1782)",-71.45681515,-17.329746
"303","Lontra felina (Molina, 1782)",-71.45731871,-17.328719
"304","Lontra felina (Molina, 1782)",-71.45784804,-17.328215
"305","Lontra felina (Molina, 1782)",-71.45825576,-17.327054
"306","Lontra felina (Molina, 1782)",-71.45873132,-17.32675
"307","Lontra felina (Molina, 1782)",-71.45945266,-17.326543
"308","Lontra felina (Molina, 1782)",-71.45999535,-17.326337
"309","Lontra felina (Molina, 1782)",-71.45997643,-17.326329
"310","Lontra felina (Molina, 1782)",-71.4604356,-17.325501
"311","Lontra felina (Molina, 1782)",-71.46051709,-17.325265
"312","Lontra felina (Molina, 1782)",-71.46342724,-17.324886
"313","Lontra felina (Molina, 1782)",-71.46350221,-17.324867
"314","Lontra felina (Molina, 1782)",-71.46345496,-17.32485
"317","Lontra felina (Molina, 1782)",-71.46315385,-17.324835
"318","Lontra felina (Molina, 1782)",-71.46381358,-17.32424
"319","Lontra felina (Molina, 1782)",-71.4651669,-17.324178
"320","Lontra felina (Molina, 1782)",-71.46557156,-17.323496
"321","Lontra felina (Molina, 1782)",-71.46648176,-17.323349
"322","Lontra felina (Molina, 1782)",-71.46650997,-17.323349
"323","Lontra felina (Molina, 1782)",-71.46592643,-17.323311
"324","Lontra felina (Molina, 1782)",-71.46708325,-17.32121
"325","Lontra felina (Molina, 1782)",-71.46689484,-17.321185
"326","Lontra felina (Molina, 1782)",-71.4752136,-17.320929
"327","Lontra felina (Molina, 1782)",-71.47533571,-17.320919
"328","Lontra felina (Molina, 1782)",-71.47522216,-17.320866
"329","Lontra felina (Molina, 1782)",-71.46735819,-17.320674
"330","Lontra felina (Molina, 1782)",-71.47491512,-17.320409
"331","Lontra felina (Molina, 1782)",-71.46740122,-17.320375
"332","Lontra felina (Molina, 1782)",-71.47483882,-17.320329
"333","Lontra felina (Molina, 1782)",-71.47532712,-17.320277
"334","Lontra felina (Molina, 1782)",-71.4755131,-17.320122
"336","Lontra felina (Molina, 1782)",-71.47536001,-17.319925
"337","Lontra felina (Molina, 1782)",-71.47494221,-17.319623
"338","Lontra felina (Molina, 1782)",-71.47374538,-17.31943
"339","Lontra felina (Molina, 1782)",-71.47370583,-17.319286
"340","Lontra felina (Molina, 1782)",-71.47276262,-17.319072
"341","Lontra felina (Molina, 1782)",-71.47285615,-17.319034
"342","Lontra felina (Molina, 1782)",-71.47473412,-17.318831
"343","Lontra felina (Molina, 1782)",-71.47250441,-17.31875
"344","Lontra felina (Molina, 1782)",-71.46843964,-17.318565
"345","Lontra felina (Molina, 1782)",-71.4685034,-17.318411
"346","Lontra felina (Molina, 1782)",-71.47152901,-17.318238
"347","Lontra felina (Molina, 1782)",-71.47438513,-17.318049
"348","Lontra felina (Molina, 1782)",-71.46887043,-17.317729
"349","Lontra felina (Molina, 1782)",-71.47082963,-17.317271
"350","Lontra felina (Molina, 1782)",-71.4741564,-17.316417
"351","Lontra felina (Molina, 1782)",-71.47411323,-17.316002
"352","Lontra felina (Molina, 1782)",-71.47423219,-17.315757
"353","Lontra felina (Molina, 1782)",-71.47258657,-17.313645
"354","Lontra felina (Molina, 1782)",-71.47305581,-17.313576
"355","Lontra felina (Molina, 1782)",-71.47300844,-17.31355
"356","Lontra felina (Molina, 1782)",-71.47333457,-17.312625
"357","Lontra felina (Molina, 1782)",-71.47169023,-17.312013
"358","Lontra felina (Molina, 1782)",-71.47370626,-17.31159
"359","Lontra felina (Molina, 1782)",-71.47249317,-17.310178
"360","Lontra felina (Molina, 1782)",-71.47211456,-17.309289
"361","Lontra felina (Molina, 1782)",-71.47316532,-17.308409
"362","Lontra felina (Molina, 1782)",-71.47321076,-17.308291
"363","Lontra felina (Molina, 1782)",-71.4719512,-17.30762
"364","Lontra felina (Molina, 1782)",-71.52786082,-17.267136
"365","Lontra felina (Molina, 1782)",-71.52920371,-17.266966
"366","Lontra felina (Molina, 1782)",-71.52574274,-17.26616
"367","Lontra felina (Molina, 1782)",-71.52091682,-17.265905
"368","Lontra felina (Molina, 1782)",-71.52858284,-17.265556
"369","Lontra felina (Molina, 1782)",-71.52018217,-17.26511
"370","Lontra felina (Molina, 1782)",-71.52229052,-17.264614
"371","Lontra felina (Molina, 1782)",-71.51899843,-17.263779
"372","Lontra felina (Molina, 1782)",-71.52976044,-17.262298
"373","Lontra felina (Molina, 1782)",-71.5635503,-17.259991
"374","Lontra felina (Molina, 1782)",-71.56354956,-17.259937
"375","Lontra felina (Molina, 1782)",-71.56471144,-17.259669
"376","Lontra felina (Molina, 1782)",-71.56345935,-17.259532
"377","Lontra felina (Molina, 1782)",-71.56550907,-17.258891
"380","Lontra felina (Molina, 1782)",-71.56348708,-17.258818
"381","Lontra felina (Molina, 1782)",-71.56348696,-17.258809
"382","Lontra felina (Molina, 1782)",-71.55138824,-17.258051
"383","Lontra felina (Molina, 1782)",-71.55141999,-17.257626
"384","Lontra felina (Molina, 1782)",-71.5612306,-17.25742
"385","Lontra felina (Molina, 1782)",-71.54599273,-17.257369
"386","Lontra felina (Molina, 1782)",-71.56111682,-17.257349
"387","Lontra felina (Molina, 1782)",-71.5612578,-17.257347
"388","Lontra felina (Molina, 1782)",-71.55252476,-17.257305
"389","Lontra felina (Molina, 1782)",-71.55274994,-17.257275
"390","Lontra felina (Molina, 1782)",-71.54843528,-17.257266
"391","Lontra felina (Molina, 1782)",-71.54516307,-17.25719
"392","Lontra felina (Molina, 1782)",-71.54510507,-17.257074
"393","Lontra felina (Molina, 1782)",-71.55052761,-17.256987
"394","Lontra felina (Molina, 1782)",-71.54990634,-17.256922
"395","Lontra felina (Molina, 1782)",-71.54989694,-17.256922
"396","Lontra felina (Molina, 1782)",-71.54784713,-17.256876
"397","Lontra felina (Molina, 1782)",-71.54803348,-17.256756
"398","Lontra felina (Molina, 1782)",-71.55894228,-17.256437
"399","Lontra felina (Molina, 1782)",-71.55897913,-17.256382
"400","Lontra felina (Molina, 1782)",-71.56191184,-17.256381
"401","Lontra felina (Molina, 1782)",-71.54925931,-17.256352
"402","Lontra felina (Molina, 1782)",-71.55881849,-17.256321
"403","Lontra felina (Molina, 1782)",-71.55893127,-17.25632
"418","Lontra felina (Molina, 1782)",-72.931602,-16.51915
"423","Lontra felina (Molina, 1782)",-75.2521944444444,-15.2531666666667
"433","Lontra felina (Molina, 1782)",-74.9444166666667,-15.519
"434","Lontra felina (Molina, 1782)",-70.9111666666667,-17.9478333333333
"438","Lontra felina (Molina, 1782)",-71.563487100832,-17.2588176194868
"439","Lontra felina (Molina, 1782)",-71.5634593703114,-17.2595314867665
"440","Lontra felina (Molina, 1782)",-71.5619118587607,-17.2563810619771
"441","Lontra felina (Molina, 1782)",-71.5612578126964,-17.2573467763037
"442","Lontra felina (Molina, 1782)",-71.5588185066195,-17.2563211395477
"444","Lontra felina (Molina, 1782)",-71.5505276303224,-17.2569865569187
"445","Lontra felina (Molina, 1782)",-71.5492593304515,-17.2563523601943
"446","Lontra felina (Molina, 1782)",-71.5484352994492,-17.2572660063515
"447","Lontra felina (Molina, 1782)",-71.5451630920415,-17.2571900794776
"449","Lontra felina (Molina, 1782)",-71.5278608374302,-17.2671360513033
"450","Lontra felina (Molina, 1782)",-71.5189984474952,-17.263779126378
"451","Lontra felina (Molina, 1782)",-71.4753271332074,-17.320277294808
"452","Lontra felina (Molina, 1782)",-71.4753357247118,-17.3209184802371
"453","Lontra felina (Molina, 1782)",-71.4749422221831,-17.3196226963164
"454","Lontra felina (Molina, 1782)",-71.4749151398382,-17.3204088393492
"455","Lontra felina (Molina, 1782)",-71.4747341360597,-17.3188304273547
"456","Lontra felina (Molina, 1782)",-71.474232205292,-17.3157566203849
"457","Lontra felina (Molina, 1782)",-71.4730084523751,-17.3135497901787
"458","Lontra felina (Molina, 1782)",-71.4727626342424,-17.3190715567239
"459","Lontra felina (Molina, 1782)",-71.4725865860968,-17.3136453211524
"460","Lontra felina (Molina, 1782)",-71.4716902507227,-17.3120125045332
"461","Lontra felina (Molina, 1782)",-71.4715290260384,-17.318237749879
"462","Lontra felina (Molina, 1782)",-71.467083263028,-17.3212100094834
"463","Lontra felina (Molina, 1782)",-71.4659264488884,-17.3233107274983
"464","Lontra felina (Molina, 1782)",-71.4638135964934,-17.3242399739824
"465","Lontra felina (Molina, 1782)",-71.4634272536726,-17.3248860244732
"466","Lontra felina (Molina, 1782)",-71.460435616845,-17.3255008860976
"467","Lontra felina (Molina, 1782)",-71.4599953712319,-17.3263372735935
"468","Lontra felina (Molina, 1782)",-71.4582557809797,-17.3270541363472
"469","Lontra felina (Molina, 1782)",-71.4573187241751,-17.3287185661546
"470","Lontra felina (Molina, 1782)",-71.4568151632843,-17.3297454061241
"471","Lontra felina (Molina, 1782)",-71.4559420432699,-17.329855478182
"472","Lontra felina (Molina, 1782)",-71.4548756694683,-17.3302840504876
"473","Lontra felina (Molina, 1782)",-71.4536194364865,-17.3305794595224
"474","Lontra felina (Molina, 1782)",-71.4526833694981,-17.3309070672107
"475","Lontra felina (Molina, 1782)",-71.4517156368813,-17.3323912061341
"476","Lontra felina (Molina, 1782)",-71.451425470374,-17.3324941172949
"477","Lontra felina (Molina, 1782)",-71.4503653543499,-17.3326877490862
"479","Lontra felina (Molina, 1782)",-71.4042347114444,-17.3851849948477
"480","Lontra felina (Molina, 1782)",-71.4041689889245,-17.3851948191421
"485","Lontra felina (Molina, 1782)",-71.3584778827641,-17.6627478374185
"488","Lontra felina (Molina, 1782)",-71.3554125958845,-17.6574371899071
"489","Lontra felina (Molina, 1782)",-71.3553100318946,-17.6575197108701
"490","Lontra felina (Molina, 1782)",-71.3474162136357,-17.6438300256894
"491","Lontra felina (Molina, 1782)",-71.3455207867624,-17.6436900074817
"492","Lontra felina (Molina, 1782)",-71.344580103435,-17.6263221770967
"493","Lontra felina (Molina, 1782)",-71.3431289869707,-17.6386781830435
"494","Lontra felina (Molina, 1782)",-71.3430821242104,-17.6386968056798
"496","Lontra felina (Molina, 1782)",-71.1756582451729,-17.8019462846117
"508","Lontra felina (Molina, 1782)",-71.1042218876001,-17.8516100314834
"512","Lontra felina (Molina, 1782)",-71.095524631675,-17.8677206314727
"515","Lontra felina (Molina, 1782)",-71.495349,-32.511544
"516","Lontra felina (Molina, 1782)",-71.77009,-33.13123
"517","Lontra felina (Molina, 1782)",-71.525598,-29.098613
"518","Lontra felina (Molina, 1782)",-74.093706,-41.866898
"520","Lontra felina (Molina, 1782)",-71.544568,-32.004023
"523","Lontra felina (Molina, 1782)",-76.883268,-12.512684
"524","Lontra felina (Molina, 1782)",-76.850778,-12.526766
"527","Lontra felina (Molina, 1782)",-71.421067,-32.379515
"528","Lontra felina (Molina, 1782)",-71.747799,-33.497134
"531","Lontra felina (Molina, 1782)",-71.560171,-29.086397
"533","Lontra felina (Molina, 1782)",-70.381935,-18.44796
"538","Lontra felina (Molina, 1782)",-71.746478,-33.175109
"540","Lontra felina (Molina, 1782)",-71.705944,-33.492434
"542","Lontra felina (Molina, 1782)",-71.316924,-29.440796
"543","Lontra felina (Molina, 1782)",-73.017712,-36.63086
"546","Lontra felina (Molina, 1782)",-71.539797,-32.911252
"547","Lontra felina (Molina, 1782)",-71.786118,-33.027927
"552","Lontra felina (Molina, 1782)",-71.689926,-33.317113
"553","Lontra felina (Molina, 1782)",-71.763113,-33.202992
"555","Lontra felina (Molina, 1782)",-73.033214,-43.697571
"558","Lontra felina (Molina, 1782)",-71.536618,-32.026238
"562","Lontra felina (Molina, 1782)",-71.647681,-33.564399
"564","Lontra felina (Molina, 1782)",-73.093024,-43.637352
"565","Lontra felina (Molina, 1782)",-73.121064,-43.718659
"566","Lontra felina (Molina, 1782)",-73.160113,-43.709991
"567","Lontra felina (Molina, 1782)",-73.189368,-43.709242
"568","Lontra felina (Molina, 1782)",-73.002378,-43.785463
"569","Lontra felina (Molina, 1782)",-73.066366,-43.761374
"571","Lontra felina (Molina, 1782)",-71.54064,-32.508115
"573","Lontra felina (Molina, 1782)",-71.713013,-33.033363
"574","Lontra felina (Molina, 1782)",-71.383021,-29.914893
"575","Lontra felina (Molina, 1782)",-70.665567,-26.042969
"576","Lontra felina (Molina, 1782)",-71.530107,-32.559728
"581","Lontra felina (Molina, 1782)",-73.376417,-36.722383
"582","Lontra felina (Molina, 1782)",-71.507,-32.382558
"585","Lontra felina (Molina, 1782)",-73.736848,-41.715605
"587","Lontra felina (Molina, 1782)",-72.617406,-42.544447
"589","Lontra felina (Molina, 1782)",-71.541616,-32.852686
"590","Lontra felina (Molina, 1782)",-72.672505,-32.631046
"595","Lontra felina (Molina, 1782)",-71.680572,-33.54065
"597","Lontra felina (Molina, 1782)",-73.15996,-36.716897
"598","Lontra felina (Molina, 1782)",-71.70475,-33.511403
"599","Lontra felina (Molina, 1782)",-71.526114,-32.599856
"600","Lontra felina (Molina, 1782)",-71.530447,-32.241083
"601","Lontra felina (Molina, 1782)",-71.43203,-32.360201
"602","Lontra felina (Molina, 1782)",-71.720594,-33.44231
"603","Lontra felina (Molina, 1782)",-71.670317,-33.03227
"605","Lontra felina (Molina, 1782)",-71.543834,-32.69978
"606","Lontra felina (Molina, 1782)",-71.589171,-32.763953
"609","Lontra felina (Molina, 1782)",-71.492404,-32.523489
"610","Lontra felina (Molina, 1782)",-71.461189,-32.368383
"611","Lontra felina (Molina, 1782)",-73.793716,-41.716343
"612","Lontra felina (Molina, 1782)",-73.594643,-39.876631
"614","Lontra felina (Molina, 1782)",-71.758007,-33.056138
"615","Lontra felina (Molina, 1782)",-73.764415,-39.842069
"616","Lontra felina (Molina, 1782)",-74.192962,-41.975475
"618","Lontra felina (Molina, 1782)",-71.504679,-32.497596
"619","Lontra felina (Molina, 1782)",-70.544739,-23.708884
"620","Lontra felina (Molina, 1782)",-71.580222,-32.463438
"622","Lontra felina (Molina, 1782)",-72.732359,-42.945402
"624","Lontra felina (Molina, 1782)",-71.294981,-29.940407
"625","Lontra felina (Molina, 1782)",-71.700359,-33.384495
"626","Lontra felina (Molina, 1782)",-71.583394,-32.701409
"628","Lontra felina (Molina, 1782)",-71.725698,-33.360274
"629","Lontra felina (Molina, 1782)",-73.291593,-39.458987
"635","Lontra felina (Molina, 1782)",-73.386318,-36.70945
"636","Lontra felina (Molina, 1782)",-71.515335,-32.479427
"640","Lontra felina (Molina, 1782)",-71.768885,-33.477015
"642","Lontra felina (Molina, 1782)",-73.186926,-36.735939
"646","Lontra felina (Molina, 1782)",-71.733429,-33.538398
"648","Lontra felina (Molina, 1782)",-71.55933,-32.494747
"649","Lontra felina (Molina, 1782)",-71.579352,-32.287982
"650","Lontra felina (Molina, 1782)",-71.492788,-32.376911
"651","Lontra felina (Molina, 1782)",-73.019596,-43.630271
"655","Lontra felina (Molina, 1782)",-73.289854,-36.751641
"656","Lontra felina (Molina, 1782)",-70.796842,-26.160782
"657","Lontra felina (Molina, 1782)",-71.669794,-33.025218
